,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,1.4056047626435844,0.12,0.3,2.0,269.0,749,10,749,6.851519275962923,5,25,0,0.0,1.0,2.0,1160.0,590,1167,8,360,1167
1,1,0.9022638638414586,0.12,0.3,,0.0,320,10,320,3.456674582759317,5,25,0,0.0,1.0,2.0,848.4,290,854,6,854,854
2,2,1.235192141952741,0.12,0.3,2.0,268.0,321,10,320,10.8440964901444,5,25,0,0.0,1.0,2.0,932.9,313,943,9,114,943
3,3,0.5583393570814802,0.12,0.3,,0.0,319,10,319,7.018876577457688,5,25,0,0.0,1.0,2.0,914.2,317,921,8,921,921
4,4,1.037018334731469,0.12,0.3,,0.0,613,10,613,3.776286205451339,5,25,0,0.0,1.0,2.0,1222.4,595,1229,9,1229,1229
5,5,0.8313286717504199,0.12,0.3,,0.0,484,10,484,3.1698240744845507,5,25,0,0.0,1.0,2.0,1027.8,313,1034,9,1034,1034
6,6,1.1779462616297511,0.12,0.3,,0.0,279,10,279,6.1105060896087515,5,25,0,0.0,1.0,2.0,345.6,280,352,6,352,352
7,7,1.2900001431410446,0.12,0.3,,0.0,718,10,718,0.8492930741574931,5,25,0,0.0,1.0,2.0,686.2,562,690,6,690,690
8,8,0.9835423674451634,0.12,0.3,,0.0,713,10,713,7.776565316136372,5,25,0,0.0,1.0,2.0,1557.4,714,1567,9,1567,1567
9,9,1.4746641420129882,0.12,0.3,,0.0,167,10,167,8.590258572892234,5,25,0,0.0,1.0,2.0,643.1,168,651,8,651,651
